Set,#,Name,Rarity,Price
BS,1,Alakazam,Rare Holo,48.94
BS,2,Blastoise,Rare Holo,153.33
BS,3,Chansey,Rare Holo,34.29
BS,4,Charizard,Rare Holo,410.9
BS,5,Clefairy,Rare Holo,25.99
BS,6,Gyarados,Rare Holo,32.64
BS,7,Hitmonchan,Rare Holo,18.55
BS,8,Machamp,Rare Holo,49.09
BS,9,Magneton,Rare Holo,20.14
BS,10,Mewtwo,Rare Holo,40.02
BS,11,Nidoking,Rare Holo,27.42
BS,12,Ninetales,Rare Holo,22.98
BS,13,Poliwrath,Rare Holo,20.28
BS,14,Raichu,Rare Holo,45.92
BS,15,Venusaur,Rare Holo,119.6
BS,16,Zapdos,Rare Holo,32.42
BS,17,Beedrill,Rare,2.67
BS,18,Dragonair,Rare,9.71
BS,19,Dugtrio,Rare,4.59
BS,20,Electabuzz,Rare,6.6
BS,21,Electrode,Rare,4.57
BS,22,Pidgeotto,Rare,6.65
BS,23,Arcanine,Uncommon,1.7
BS,24,Charmeleon,Uncommon,1.27
BS,25,Dewgong,Uncommon,1.84
BS,26,Dratini,Uncommon,0.98
BS,27,Farfetch’d,Uncommon,1.02
BS,28,Growlithe,Uncommon,0.87
BS,29,Haunter,Uncommon,0.69
BS,30,Ivysaur,Uncommon,1.69
BS,31,Jynx,Uncommon,0.64
BS,32,Kadabra,Uncommon,0.86
BS,33,Kakuna,Uncommon,0.74
BS,34,Machoke,Uncommon,0.76
BS,35,Magikarp,Uncommon,1.95
BS,36,Magmar,Uncommon,1.71
BS,37,Nidorino,Uncommon,1.56
BS,38,Poliwhirl,Uncommon,1.37
BS,39,Porygon,Uncommon,1.2
BS,40,Raticate,Uncommon,1.42
BS,41,Seel,Uncommon,0.68
BS,42,Wartortle,Uncommon,2.34
BS,43,Abra,Common,0.67
BS,44,Bulbasaur,Common,1.22
BS,45,Caterpie,Common,0.81
BS,46,Charmander,Common,1.44
BS,47,Diglett,Common,0.52
BS,48,Doduo,Common,0.65
BS,49,Drowzee,Common,0.51
BS,50,Gastly,Common,0.53
BS,51,Koffing,Common,0.43
BS,52,Machop,Common,0.32
BS,53,Magnemite,Common,0.45
BS,54,Metapod,Common,0.67
BS,55,Nidoran Male,Common,0.67
BS,56,Onix,Common,0.92
BS,57,Pidgey,Common,0.82
BS,58,Pikachu,Common,2.52
BS,59,Poliwag,Common,0.7
BS,60,Ponyta,Common,0.34
BS,61,Rattata,Common,0.6
BS,62,Sandshrew,Common,0.69
BS,63,Squirtle,Common,2.82
BS,64,Starmie,Common,0.45
BS,65,Staryu,Common,0.46
BS,66,Tangela,Common,0.67
BS,67,Voltorb,Common,0.95
BS,68,Vulpix,Common,0.64
BS,69,Weedle,Common,0.47
BS,70,Clefairy Doll,Rare,3.31
BS,71,Computer Search,Rare,2.84
BS,72,Devolution Spray,Rare,2.6
BS,73,Impostor Professor Oak,Rare,4.16
BS,74,Item Finder,Rare,8.86
BS,75,Lass,Rare,1.9
BS,76,Pokémon Breeder,Rare,5.21
BS,77,Pokémon Trader,Rare,3.9
BS,78,Scoop Up,Rare,5.61
BS,79,Super Energy Removal,Rare,1.98
BS,80,Defender,Uncommon,0.97
BS,81,Energy Retrieval,Uncommon,0.4
BS,82,Full Heal,Uncommon,0.62
BS,83,Maintenance,Uncommon,1.33
BS,84,PlusPower,Uncommon,0.45
BS,85,Pokémon Center,Uncommon,1.17
BS,86,Pokémon Flute,Uncommon,1.82
BS,87,Pokédex,Uncommon,0.36
BS,88,Professor Oak,Uncommon,1.19
BS,89,Revive,Uncommon,1.3
BS,90,Super Potion,Uncommon,0.19
BS,91,Bill,Common,0.26
BS,92,Energy Removal,Common,0.33
BS,93,Gust of Wind,Common,0.21
BS,94,Potion,Common,0.17
